"table_schema","table_name","column_name","data_type","column_default","is_nullable","character_maximum_length","numeric_precision","numeric_scale"
"public","agency_settings","id","uuid","uuid_generate_v4()","NO","","",""
"public","agency_settings","created_at","timestamp with time zone","timezone('utc'::text, now())","YES","","",""
"public","agency_settings","updated_at","timestamp with time zone","timezone('utc'::text, now())","YES","","",""
"public","agency_settings","name","text","","NO","","",""
"public","agency_settings","phone","text","","YES","","",""
"public","agency_settings","email","text","","YES","","",""
"public","agency_settings","website","text","","YES","","",""
"public","agency_settings","branding","jsonb","'{""colors"": {""accent"": """", ""primary"": """", ""secondary"": """"}, ""typography"": {""bodyFont"": """", ""headingFont"": """"}}'::jsonb","NO","","",""
"public","agency_settings","footer_links","jsonb","'[]'::jsonb","YES","","",""
"public","agency_settings","status","text","'active'::text","NO","","",""
"public","agents","id","uuid","gen_random_uuid()","NO","","",""
"public","agents","created_at","timestamp with time zone","timezone('utc'::text, now())","NO","","",""
"public","agents","updated_at","timestamp with time zone","timezone('utc'::text, now())","NO","","",""
"public","agents","agency_id","uuid","","YES","","",""
"public","agents","name","text","","NO","","",""
"public","agents","email","text","","NO","","",""
"public","agents","phone","text","","NO","","",""
"public","agents","position","text","","NO","","",""
"public","agents","avatar_url","text","","YES","","",""
"public","agents","bio","text","","YES","","",""
"public","agents","status","text","'active'::text","NO","","",""
"public","agents","social_media","jsonb","'{}'::jsonb","YES","","",""
"public","agents","metadata","jsonb","'{}'::jsonb","YES","","",""
"public","assets","id","uuid","gen_random_uuid()","NO","","",""
"public","assets","property_id","uuid","","YES","","",""
"public","assets","created_at","timestamp with time zone","now()","YES","","",""
"public","assets","updated_at","timestamp with time zone","now()","YES","","",""
"public","assets","category","USER-DEFINED","","NO","","",""
"public","assets","type","USER-DEFINED","","NO","","",""
"public","assets","filename","text","","NO","","",""
"public","assets","storage_path","text","","NO","","",""
"public","assets","title","text","","YES","","",""
"public","assets","description","text","","YES","","",""
"public","assets","alt_text","text","","YES","","",""
"public","assets","display_order","integer","","YES","","32","0"
"public","assets","video_thumbnail_path","text","","YES","","",""
"public","assets","video_duration","integer","","YES","","32","0"
"public","assets","width","integer","","YES","","32","0"
"public","assets","height","integer","","YES","","32","0"
"public","assets","status","text","'active'::text","YES","","",""
"public","contact_agents","id","uuid","uuid_generate_v4()","NO","","",""
"public","contact_agents","property_id","uuid","","YES","","",""
"public","contact_agents","created_at","timestamp with time zone","timezone('utc'::text, now())","YES","","",""
"public","contact_agents","name","text","","NO","","",""
"public","contact_agents","title","text","","YES","","",""
"public","contact_agents","phone","text","","YES","","",""
"public","contact_agents","email","text","","YES","","",""
"public","contact_agents","photo_url","text","","YES","","",""
"public","contact_agents","display_order","integer","0","YES","","32","0"
"public","properties","id","uuid","uuid_generate_v4()","NO","","",""
"public","properties","created_at","timestamp with time zone","timezone('utc'::text, now())","YES","","",""
"public","properties","updated_at","timestamp with time zone","timezone('utc'::text, now())","YES","","",""
"public","properties","name","text","","NO","","",""
"public","properties","street_address","text","","NO","","",""
"public","properties","suburb","text","","NO","","",""
"public","properties","state","text","","NO","","",""
"public","properties","price","text","","NO","","",""
"public","properties","status","text","'active'::text","NO","","",""
"public","properties","metadata","jsonb","'{}'::jsonb","YES","","",""
"public","properties","content","jsonb","'{""hero"": {""headline"": """", ""subheadline"": """"}, ""features"": {""items"": [], ""header"": """", ""headline"": """"}, ""neighbourhood"": {""header"": """", ""headline"": """", ""description"": """"}}'::jsonb","NO","","",""
"public","properties","agency_settings_id","uuid","","YES","","",""
"public","properties","agency_id","uuid","","YES","","",""
"public","properties","agency_name","text","","YES","","",""
"public","viewings","id","uuid","gen_random_uuid()","NO","","",""
"public","viewings","property_id","uuid","","YES","","",""
"public","viewings","viewing_datetime","timestamp with time zone","","NO","","",""
"public","viewings","type","text","","NO","","",""
"public","viewings","status","text","","NO","","",""
"public","viewings","notes","text","","YES","","",""
"public","viewings","created_at","timestamp with time zone","timezone('utc'::text, now())","NO","","",""
"public","viewings","updated_at","timestamp with time zone","timezone('utc'::text, now())","NO","","",""